iu,iv,u_mm,v_mm,x_mm,y_mm,z_mm,nx,ny,nz,theta1_rad,theta2_rad,residual_abs,valid,reason_code
0,0,56.500000,-5.000000,-28.042435,-20.320795,-10.603466,0.96926507,0.03217923,0.24390515,-5.964164940086,1.988054980029,0.000000,1,OK
1,0,56.925000,-5.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
2,0,57.350000,-5.000000,-24.474429,-0.187765,-2.999585,-0.58529658,-0.77238782,0.24666773,-4.381717171737,1.460572390579,0.000000,1,OK
3,0,57.775000,-5.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
4,0,58.200000,-5.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
5,0,58.625000,-5.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
6,0,59.050000,-5.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
7,0,59.475000,-5.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
8,0,59.900000,-5.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
9,0,60.325000,-5.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
10,0,60.750000,-5.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
11,0,61.175000,-5.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
12,0,61.600000,-5.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
13,0,62.025000,-5.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
14,0,62.450000,-5.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
15,0,62.875000,-5.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
16,0,63.300000,-5.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
17,0,63.725000,-5.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
18,0,64.150000,-5.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
19,0,64.575000,-5.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
20,0,65.000000,-5.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
0,1,56.500000,-4.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
1,1,56.925000,-4.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
2,1,57.350000,-4.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
3,1,57.775000,-4.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
4,1,58.200000,-4.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
5,1,58.625000,-4.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
6,1,59.050000,-4.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
7,1,59.475000,-4.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
