iu,iv,u_mm,v_mm,x_mm,y_mm,z_mm,nx,ny,nz,theta1_rad,theta2_rad,residual_abs,valid,reason_code
0,0,56.500000,-5.000000,-30.466254,16.384538,0.491104,0.96409231,0.09839233,-0.24666773,-3.561084575926,1.187028191975,0.000000,1,OK
1,0,56.925000,-5.000000,-30.120142,23.207183,1.524769,0.96198312,-0.11723270,-0.24666773,-3.338112061482,1.112704020494,0.000000,1,OK
2,0,57.350000,-5.000000,-29.041214,27.871864,2.177912,0.93598890,-0.25115694,-0.24666773,-3.197222059592,1.065740686531,0.000000,1,OK
3,0,57.775000,-5.000000,-27.633041,31.711470,2.700216,0.90181738,-0.35479635,-0.24666773,-3.084555396283,1.028185132094,0.000000,1,OK
4,0,58.200000,-5.000000,-26.006244,35.040404,3.149733,0.86323188,-0.44043813,-0.24666773,-2.987589641581,0.995863213860,0.000000,1,OK
5,0,58.625000,-5.000000,-24.215189,37.994950,3.551316,0.82188955,-0.51347113,-0.24666773,-2.900964045210,0.966988015070,0.000000,1,OK
6,0,59.050000,-5.000000,-22.293132,40.649288,3.918323,0.77870758,-0.57686181,-0.24666773,-2.821796634000,0.940598878000,0.000000,1,OK
7,0,59.475000,-5.000000,-20.263055,43.049306,4.258914,0.73426342,-0.63246523,-0.24666773,-2.748327398938,0.916109132979,0.000000,1,OK
8,0,59.900000,-5.000000,-18.142136,45.225872,4.578502,0.68895254,-0.68154195,-0.24666773,-2.679388768681,0.893129589560,0.000000,1,OK
9,0,60.325000,-5.000000,-15.943934,47.201033,4.880894,0.64306246,-0.72500048,-0.24666773,-2.614159585212,0.871386528404,0.000000,1,OK
10,0,60.750000,-5.000000,-13.679591,48.991268,5.168886,0.59681176,-0.76352522,-0.24666773,-2.552036599379,0.850678866460,0.000000,1,OK
11,0,61.175000,-5.000000,-11.358544,50.609349,5.444604,0.55037247,-0.79764978,-0.24666773,-2.492561405400,0.830853801800,0.000000,1,OK
12,0,61.600000,-5.000000,-8.988984,52.065474,5.709705,0.50388385,-0.82780197,-0.24666773,-2.435376122708,0.811792040903,0.000000,1,OK
13,0,62.025000,-5.000000,-6.578151,53.367993,5.965515,0.45746112,-0.85433270,-0.24666773,-2.380195107270,0.793398369090,0.000000,1,OK
